"An invalid CSS hex color code is used for the button color. Please change it to a valid css hex color code.","Ein ungültiger CSS hex Farbcode wird für die Knopffarbe verwendet. Bitte ändere diesen zu einem validen CSS hex Farbcode."
"Click here to go to <a href=""%1"">Kustom Design Configuration</a> and change your settings.","Klicke hier um zur Seite <a href=""%1"">Kustom Aussehen Konfiguation</a> zu gelangen"
"Checkout General settings","Checkout allgemeine Einstellungen"
"Status for new orders","Status für neue Bestellungen"
"New orders created will have this status. Default status is Processing.","Neue Bestellungen erhalten diesen Status. Der Standardstatus ist 'In Bearbeitung'"
"Additional payment methods not processed through Kustom, e.g. PayPal, that can be included on the Kustom checkout page. Make sure to enable the specific payment method first for it to show up in the list","Weitere Nicht-Kustom-Bezahlmethoden z.B. PayPal, welche auf der Kustom Checkoutseite integriert werden können. Bitte stelle sicher, dass diese Bezahlmethode aktiviert ist."
"If guests are allowed to buy through KCO. If not, guest customers will be redirected to Magento's default checkout. Registered customers will still see KCO.","Wenn aktiviert, können Gastkunden nicht mittels Kustom Checkout die Bestellung abschließen. In diesem Fall werden diese zum Standardcheckout weitergeleitet."
"Prefill Options","Vorbefüllungsoptionen"
"Display a pre-fill notice to registered customer before submitting details to Kustom. The customer must accept the notice to have their account details shared with Kustom.","Zeigt einen Vorbefüllungshinweis für registrierte Kunden an, bevor diese Daten an Kustom weitergeben. Der Kunde muss den Hinweis akzeptieren, damit die Accountdetails mit Kustom geteilt werden können."
"Mandatory Field Options","Pflichtfeldoptionen"
"Only available in certain markets. NOTE: You must also update the attribute in Magento to make this field optional if you set this to 'no'","Nur in bestimmten Märkten verfügbar. Hinweis: Das entsprechende Attributfeld muss im Admin auf 'nein' gesetzt werden, wenn es als optional definiert werden soll"
"Shipping Options","Lieferoptionen"
"Display shipping methods in Kustom iframe. (This is ignored and forced to 'no' in some markets)","Zeige die Liefermethoden im Kustom Iframe an (diese Einstellung wird in einigen Märkten ignoriert and automatisch auf 'nein' gesetzt)"
"URL Options","URL Optionen"
"Added Checkbox Options","Kontrollhäkchen Option hinzufügen"
"Enable a checkbox within the checkout to trigger user behavior. May not be available in all markets.","Aktiviere die Kontrollhäkchen im Kustom Iframe um bestimmte Kundenverhalten zu ermöglichen. Diese Funktionalität steht nicht in allen Märkten zur Verfügung."
"Add","Hinzufügen"
"Add after","Danach hinzufügen"
"Checkboxes","Kontrolhäkchen"
"Action","Aktion"
"Shipping countries and billing countries are the same","Liste der Versandländer ist gleich dem der Rechnungsländer"
"Billing Countries","Rechnungsländer"
